id,name,first_air_date,popularity,vote_average,vote_count,status,in_production,num_seasons,num_episodes,genres,type,original_language,origin_country,show_age_days,days_since_last_episode,keywords,last_air_date,us_content_rating,imdb_id,created_by,homepage,is_canceled,weighted_rating,rating_category,years_since_premiere,is_recent,is_popular,genre_count,premiere_year
82596,Emily in Paris,2020-10-02,28.1802,7.594,1506,Returning Series,True,6,50,"Drama, Comedy",Scripted,en,US,1942.0,39.0,"paris, france, affectation, marketing, friendship, love",2025-12-18,TV-MA,tt8962124,Darren Star,https://www.netflix.com/title/81037371,0,7.586473570892905,Good,5.32054794520548,0,1,2,2020
61889,Marvel's Daredevil,2015-04-10,28.0781,8.158,4976,Canceled,False,3,39,"Crime, Drama, Action & Adventure",Scripted,en,US,3944.0,2656.0,"new york city, corruption, secret identity, secret organization, vigilante",2018-10-19,TV-MA,tt3322312,Drew Goddard,https://www.disneyplus.com/series/daredevil/5jKSWL7ZMg50,1,8.152876432120982,Excellent,10.805479452054794,0,1,3,2015
86831,"Love, Death & Robots",2019-03-15,27.0524,8.215,3832,Returning Series,True,4,45,"Animation, Sci-Fi & Fantasy",Scripted,en,US,2509.0,256.0,"explosive, grave, love, anthology, murder",2025-05-15,TV-MA,tt9561862,Tim Miller,https://www.netflix.com/title/80174608,0,8.207987305428322,Excellent,6.873972602739726,0,1,2,2019
1425,House of Cards,2013-02-01,27.0483,8.005,3042,Ended,False,6,73,Drama,Scripted,en,US,4742.0,2642.0,"corruption, usa president, manipulation, politics, revenge",2018-11-02,TV-MA,tt1856010,Beau Willimon,http://www.netflix.com/title/70178217,0,7.997892741127173,Good,12.991780821917809,0,1,1,2013
79696,Manifest,2018-09-24,26.4969,7.629,1726,Ended,False,4,62,"Sci-Fi & Fantasy, Mystery, Drama",Scripted,en,US,2681.0,969.0,"new york city, time travel, investigation, presumed dead, passengers",2023-06-02,TV-14,tt8421350,Jeff Rake,https://www.netflix.com/title/80241318,0,7.621919495737885,Good,7.345205479452055,0,1,3,2018
96648,Sweet Home,2020-12-18,26.0461,8.233,1530,Ended,False,3,26,"Sci-Fi & Fantasy, Action & Adventure",Scripted,ko,KR,1865.0,556.0,"trauma, gore, survival, apocalypse, supernatural phenomena",2024-07-19,TV-MA,tt11612120,Unknown,https://www.netflix.com/title/81061734,0,8.215316422531858,Excellent,5.109589041095891,0,1,2,2020
81356,Sex Education,2019-01-11,25.214,8.217,7715,Ended,False,4,32,"Comedy, Drama",Scripted,en,GB,2572.0,858.0,"england, small town, sex therapy, high school, coming of age",2023-09-21,TV-MA,tt7767422,Laurie Nunn,https://www.netflix.com/title/80197526,0,8.213498971193417,Excellent,7.046575342465753,0,1,2,2019
245684,Culinary Class Wars,2024-09-17,25.1828,8.475,60,Returning Series,True,2,25,Reality,Reality,ko,KR,496.0,13.0,"cooking, chef, cooking competition",2026-01-13,Unknown,tt33040785,"Kim Hak-min, Kim Eun-ji",https://www.netflix.com/title/81728365,0,8.080318082788672,Excellent,1.358904109589041,1,1,1,2024
310045,"To Love, To Lose",2026-01-15,25.1575,5.667,6,Ended,False,1,8,Drama,Scripted,tr,TR,11.0,11.0,Unknown,2026-01-15,Unknown,tt34692346,Yavuz Turgul,https://www.netflix.com/title/81767762,0,6.849323775388291,Average,0.030136986301369864,1,1,1,2026
224827,Blind Sherlock,2026-01-23,25.1094,8.2,5,Returning Series,True,1,6,"Drama, Mystery, Crime",Scripted,nl,BE,3.0,3.0,Unknown,2026-01-23,Unknown,tt39387604,"Maarten Goffin, Kristof Hoefkens",https://www.netflix.com/title/81617193,0,7.310901234567901,Good,0.00821917808219178,1,1,3,2026
219246,When Life Gives You Tangerines,2025-03-07,24.9515,8.711,455,Ended,False,1,16,Drama,Scripted,ko,KR,325.0,304.0,"poet, romance, family relationships, couple, first love",2025-03-28,TV-14,tt26471411,"Lim Sang-choon, Kim Won-suk",https://www.netflix.com/title/81681535,0,8.628816743827162,Excellent,0.8904109589041096,1,1,1,2025
74204,Big Mouth,2017-09-29,24.9431,7.642,1180,Ended,False,8,81,"Comedy, Animation",Scripted,en,US,3041.0,248.0,"adolescence, puberty, friendship, cartoon, crude humor",2025-05-23,TV-MA,tt6524350,"Mark Levin, Nick Kroll, Jennifer Flackett, Andrew Goldberg",https://www.netflix.com/title/80117038,0,7.631441524512065,Good,8.331506849315069,0,1,2,2017
4589,Arrested Development,2003-11-02,24.8837,7.9,1583,Ended,False,5,84,Comedy,Scripted,en,US,8121.0,2509.0,"prison, narration, dysfunctional family, dark comedy, family relationships",2019-03-15,TV-MA,tt0367279,Mitchell Hurwitz,https://www.netflix.com/title/70140358,0,7.8880765155702965,Good,22.24931506849315,0,1,1,2003
129552,The Night Agent,2023-03-23,24.5455,7.728,1032,Returning Series,True,3,30,"Action & Adventure, Drama, Mystery",Scripted,en,US,1040.0,368.0,"based on novel or book, the white house, fbi, oval office, conspiracy",2025-01-23,TV-MA,tt13918776,Shawn Ryan,https://www.netflix.com/title/81450827,0,7.713929079505238,Good,2.8493150684931505,1,1,3,2023
212989,LEGO Ninjago: Dragons Rising,2023-06-01,24.2249,8.2,88,Returning Series,True,4,70,"Animation, Kids, Action & Adventure",Scripted,en,US,970.0,144.0,"martial arts, sequel, ninja, based on toy, fighting",2025-09-04,TV-Y7,tt27502465,"Chris Wyatt, Kevin Burke",https://www.netflix.com/title/81519765,0,7.963956079973779,Good,2.6575342465753424,1,1,3,2023
225634,Monsters: The Lyle and Erik Menendez Story,2024-09-19,24.153,7.609,472,Ended,False,1,9,"Drama, Crime",Miniseries,en,US,494.0,494.0,"based on true story, miniseries, privileged life, brother brother relationship, parricide",2024-09-19,TV-MA,Unknown,"Ryan Murphy, Ian Brennan",https://www.netflix.com/title/81665094,0,7.585060436694239,Good,1.3534246575342466,1,1,2,2024
67026,Designated Survivor,2016-09-21,22.9144,7.134,1076,Canceled,False,3,53,"Drama, War & Politics",Scripted,en,US,3414.0,2425.0,"usa president, affectation, politics, president, conspiracy",2019-06-07,TV-14,tt5296406,David Guggenheim,https://www.netflix.com/title/80113647,1,7.133979143539543,Good,9.353424657534246,0,1,2,2016
80968,Narcos: Mexico,2018-11-16,22.8408,7.9,1451,Ended,False,3,30,"Drama, Crime",Scripted,en,US,2628.0,1543.0,"corruption, mexico, cocaine, tiger, usa–mexico border",2021-11-05,TV-MA,tt8714904,"Doug Miro, Carlo Bernard, Chris Brancato",https://www.netflix.com/title/80997085,0,7.88701018769447,Good,7.2,0,1,2,2018
99966,All of Us Are Dead,2022-01-28,22.6655,8.278,4232,Returning Series,True,2,12,"Action & Adventure, Drama, Sci-Fi & Fantasy",Scripted,ko,KR,1459.0,1459.0,"high school, bullying, based on comic, survival, coming of age",2022-01-28,TV-MA,tt14169960,"Chun Sung-il, JQ Lee, Kim Nam-su",https://www.netflix.com/title/81237994,0,8.27127625958117,Excellent,3.9972602739726026,1,1,3,2022
67178,Marvel's The Punisher,2017-11-17,22.402,8.1,2940,Canceled,False,2,26,"Action & Adventure, Crime, Drama",Scripted,en,US,2992.0,2565.0,"gun, anti hero, vigilante, based on comic, punishment",2019-01-18,TV-MA,tt5675620,Steve Lightfoot,https://www.disneyplus.com/series/the-punisher/6JOZHgU6cBS3,1,8.091847230029353,Excellent,8.197260273972603,0,1,3,2017
68854,From Me to You: Kimi ni Todoke,2009-10-07,21.3444,8.4,337,Ended,False,3,42,"Animation, Drama",Scripted,ja,JP,5955.0,543.0,"friendship, high school, romance, slice of life, coming of age",2024-08-01,TV-14,tt1745240,Unknown,https://kimitodo.com/,0,8.312505627174136,Excellent,16.315068493150687,0,1,2,2009
83639,Girl from Nowhere,2018-10-27,21.1923,8.503,916,Ended,False,2,21,"Drama, Mystery, Crime",Scripted,th,TH,2648.0,1725.0,"rape, supernatural, high school, bullying, anthology",2021-05-07,TV-MA,tt8824648,SOUR Bangkok,http://www.netflix.com/title/80241947,0,8.46660471523596,Excellent,7.254794520547946,0,1,3,2018
108545,3 Body Problem,2024-03-21,21.0309,7.449,1360,Returning Series,True,1,8,"Sci-Fi & Fantasy, Mystery, Drama",Scripted,en,US,676.0,676.0,"china, based on novel or book, scientist, alien invasion, alien contact",2024-03-21,TV-MA,tt13016388,"David Benioff, D. B. Weiss, Alexander Woo",https://www.netflix.com/title/81024821,0,7.4432974996657295,Good,1.8520547945205479,1,1,3,2024
286801,Monster: The Ed Gein Story,2025-10-03,20.7869,7.223,446,Ended,False,1,8,"Drama, Crime",Miniseries,en,US,115.0,115.0,"world war ii, wisconsin, based on true story, murder, serial killer",2025-10-03,TV-MA,Unknown,Ian Brennan,https://www.netflix.com/title/81783093,0,7.218227254855704,Good,0.3150684931506849,1,1,2,2025
215092,Alpha Males,2022-12-30,20.6147,7.522,138,Returning Series,True,4,36,Comedy,Scripted,es,ES,1123.0,17.0,"masculinity, male male relationship",2026-01-09,TV-MA,tt18482892,"Laura Caballero, Alberto Caballero, Daniel Deorador, Araceli Álvarez de Sotomayor",https://www.netflix.com/title/81559021,0,7.4623499204726205,Good,3.0767123287671234,1,1,1,2022
67744,MINDHUNTER,2017-10-13,20.4681,8.106,2810,Canceled,False,2,19,"Drama, Crime",Scripted,en,US,3027.0,2355.0,"prison, based on novel or book, 1970s, fbi, psychology",2019-08-16,TV-MA,tt5290382,Joe Penhall,https://www.netflix.com/title/80114855,1,8.097420471618001,Excellent,8.293150684931506,0,1,2,2017
117581,Ginny & Georgia,2021-02-24,20.2783,8.047,1746,Returning Series,True,4,30,"Comedy, Drama",Scripted,en,US,1797.0,235.0,"femme fatale, romance, neighbor, female protagonist, motorcycle gang",2025-06-05,TV-14,tt10813940,Sarah Lampert,https://www.netflix.com/title/81025696,0,8.034098835142315,Excellent,4.923287671232877,1,1,2,2021
116799,The Lincoln Lawyer,2022-05-13,20.2531,7.6,430,Returning Series,True,4,40,"Drama, Crime",Scripted,en,US,1354.0,466.0,"based on novel or book, workplace, lawyer, criminal, courtroom",2024-10-17,TV-MA,tt13833978,David E. Kelley,https://www.netflix.com/title/81303831,0,7.574345136345135,Good,3.7095890410958905,1,1,2,2022
75006,The Umbrella Academy,2019-02-15,19.9228,8.494,9847,Ended,False,4,36,"Action & Adventure, Sci-Fi & Fantasy, Drama",Scripted,en,US,2537.0,536.0,"secret society, time travel, superhero, based on comic, dysfunctional family",2024-08-08,TV-MA,tt1312171,Steve Blackman,https://www.netflix.com/title/80186863,0,8.49055358965124,Excellent,6.950684931506849,0,1,3,2019
43901,Longmire,2012-06-03,19.6194,7.7,313,Ended,False,6,63,"Western, Crime, Drama",Scripted,en,US,4985.0,2992.0,"wyoming, usa, small town, small town sheriff, tuff, russia",2017-11-17,TV-14,tt1836037,"John Coveny, Hunt Baldwin",https://www.netflix.com/title/70269479,0,7.658068156914311,Good,13.657534246575343,0,1,3,2012
90937,BEASTARS,2019-10-10,19.2712,8.4,1251,Returning Series,True,3,36,"Animation, Drama, Mystery, Crime",Scripted,ja,JP,2300.0,417.0,"black market, based on comic, romance, slice of life, survival",2024-12-05,TV-MA,tt11043632,Unknown,https://bst-animation.com,0,8.375177928712413,Excellent,6.301369863013699,0,1,4,2019
238458,Cashero,2025-12-26,19.2225,7.237,57,Ended,False,1,8,"Action & Adventure, Drama",Miniseries,ko,KR,31.0,31.0,"superhero, cash, based on webcomic or webtoon, powers, salaryman",2025-12-26,TV-MA,tt30413044,Unknown,https://www.netflix.com/title/81028446,0,7.205317524841915,Good,0.08493150684931507,1,1,2,2025
236235,The Gentlemen,2024-03-07,19.2079,7.865,693,Returning Series,True,2,8,"Comedy, Drama, Crime",Scripted,en,GB,690.0,690.0,"dark comedy, aristocrat, based on movie, irreverent, offbeat",2024-03-07,TV-MA,tt13210838,Guy Ritchie,https://www.netflix.com/title/81437051,0,7.839515371917878,Good,1.8904109589041096,1,1,3,2024
78173,Dragons: Race to the Edge,2015-06-26,18.9643,8.4,463,Ended,False,6,78,"Family, Animation, Action & Adventure, Sci-Fi & Fantasy",Scripted,en,US,3867.0,2901.0,"flying, vikings (norsemen), computer animation, family drama, dragon",2018-02-16,TV-Y7,tt4816058,Unknown,https://www.netflix.com/title/80039394,0,8.335096387370978,Excellent,10.594520547945205,0,1,4,2015
67683,Travelers,2016-10-17,18.6523,7.553,823,Canceled,False,3,34,"Drama, Sci-Fi & Fantasy",Scripted,en,CA,3388.0,2600.0,"time travel, north america, commanding",2018-12-14,TV-MA,tt5651844,Brad Wright,https://www.netflix.com/title/80105699,1,7.5406203266946195,Good,9.282191780821918,0,1,2,2016
62320,Grace and Frankie,2015-05-08,18.3222,7.679,357,Ended,False,7,94,"Comedy, Drama",Scripted,en,US,3916.0,1368.0,"divorce, family, beach house, lgbt, elderly",2022-04-29,TV-MA,tt3609352,"Howard J. Morris, Marta Kauffman",https://www.netflix.com/en/title/80017537,0,7.643272348264494,Good,10.728767123287671,0,1,2,2015
252193,Last Samurai Standing,2025-11-13,18.2089,7.853,167,Returning Series,True,2,6,"Action & Adventure, Drama",Scripted,ja,JP,74.0,74.0,"based on novel or book, samurai, jidaigeki, 19th century, meiji period",2025-11-13,TV-MA,tt32237534,Unknown,https://www.netflix.com/title/81607397,0,7.759260609567901,Good,0.20273972602739726,1,1,2,2025
113988,DAHMER - Monster: The Jeffrey Dahmer Story,2022-09-21,18.0685,7.975,2801,Ended,False,1,10,"Drama, Crime",Miniseries,en,US,1223.0,1223.0,"deaf-mute, pedophilia, court case, necrophilia, alcoholism",2022-09-21,TV-MA,Unknown,"Ryan Murphy, Ian Brennan",https://www.netflix.com/title/81287562,0,7.967552030090953,Good,3.350684931506849,1,1,2,2022
87739,The Queen's Gambit,2020-10-23,17.5984,8.449,5277,Ended,False,1,7,Drama,Miniseries,en,US,1921.0,1921.0,"chess, based on novel or book, kentucky, female friendship, addiction",2020-10-23,TV-MA,tt10048342,"Scott Frank, Allan Scott",https://www.netflix.com/title/80234304,0,8.44279517861883,Excellent,5.263013698630137,0,1,1,2020
279601,Man vs Baby,2025-12-11,17.5837,6.826,158,Ended,False,1,4,"Comedy, Family",Miniseries,en,GB,46.0,46.0,"baby, miniseries",2025-12-11,TV-PG,tt35047134,"Rowan Atkinson, William Davies",https://www.netflix.com/title/81923753,0,6.8679510220603115,Average,0.12602739726027398,1,1,2,2025
79242,Chilling Adventures of Sabrina,2018-10-26,17.3637,8.181,3702,Ended,False,2,36,"Mystery, Sci-Fi & Fantasy, Drama",Scripted,en,US,2649.0,1852.0,"witch, black magic, high school, based on comic, female protagonist",2020-12-31,TV-14,tt7569592,Roberto Aguirre-Sacasa,https://www.netflix.com/title/80223989,0,8.173970763895099,Excellent,7.257534246575342,0,1,3,2018
111110,ONE PIECE,2023-08-31,17.0727,8.123,1466,Returning Series,True,2,16,"Action & Adventure, Sci-Fi & Fantasy",Scripted,en,US,879.0,879.0,"ocean, sea, ship, friendship, based on comic",2023-08-31,TV-14,tt11737520,"Steven Maeda, Matt Owens",https://www.netflix.com/title/80217863,0,8.106401768636509,Excellent,2.408219178082192,1,1,2,2023
